
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            13540 Console                    3     43,196 K
NVIDIA Overlay.exe            9748 Console                    3     28,740 K
StartMenuExperienceHost.e    14080 Console                    3     63,640 K
NVIDIA Overlay.exe           20592 Console                    3     20,032 K
NVIDIA Overlay.exe           14832 Console                    3     29,028 K
NVIDIA Overlay.exe           11180 Console                    3     38,348 K
msedgewebview2.exe            6476 Console                    3     40,488 K
msedgewebview2.exe           10348 Console                    3      9,812 K
RuntimeBroker.exe             1464 Console                    3     35,736 K
msedgewebview2.exe           21076 Console                    3     25,352 K
msedgewebview2.exe           13360 Console                    3     28,468 K
msedgewebview2.exe           22364 Console                    3     19,816 K
SearchApp.exe                18564 Console                    3     58,256 K
msedgewebview2.exe            9084 Console                    3     47,536 K
svchost.exe                  15120 Console                    3     26,304 K
LockApp.exe                  13104 Console                    3     61,368 K
RuntimeBroker.exe            14504 Console                    3     35,288 K
dllhost.exe                  13548 Console                    3      8,820 K
TextInputHost.exe            11316 Console                    3     51,508 K
RuntimeBroker.exe             8448 Console                    3     28,184 K
SecurityHealthSystray.exe    19656 Console                    3     10,184 K
iTunesHelper.exe             10352 Console                    3     15,060 K
vgtray.exe                    8888 Console                    3     11,556 K
steam.exe                    21516 Console                    3     49,892 K
steamwebhelper.exe           21372 Console                    3     40,380 K
SteamService.exe             21896 Services                   0     14,392 K
steamwebhelper.exe           19652 Console                    3     11,772 K
steamwebhelper.exe           21948 Console                    3     56,828 K
Overwolf.exe                 15992 Console                    3     98,756 K
steamwebhelper.exe            1708 Console                    3     26,580 K
RiotClientServices.exe       13612 Console                    3     73,560 K
steamwebhelper.exe            6720 Console                    3     17,472 K
steamwebhelper.exe           13800 Console                    3     83,380 K
TranslucentTB.exe             6328 Console                    3     51,536 K
RuntimeBroker.exe            10992 Console                    3     10,456 K
OverwolfBrowser.exe           2420 Console                    3      8,988 K
Cortana.exe                  20464 Console                    3     16,600 K
WzPreloader.exe               1528 Console                    3     13,012 K
RuntimeBroker.exe            21448 Console                    3     22,540 K
OverwolfBrowser.exe           4024 Console                    3     25,384 K
OverwolfBrowser.exe           1260 Console                    3     22,328 K
svchost.exe                   3044 Console                    3     19,216 K
OverwolfBrowser.exe          11600 Console                    3     10,804 K
ReceiverProxy.exe             1812 Console                    3     28,176 K
redirector.exe               15976 Console                    3     11,732 K
concentr.exe                  9076 Console                    3     29,080 K
Receiver.exe                 19848 Console                    3     36,296 K
ONENOTEM.EXE                  2064 Console                    3      3,048 K
SelfServicePlugin.exe        18036 Console                    3     34,684 K
wfcrun32.exe                 14848 Console                    3     27,872 K
CNQMMAIN.EXE                 21796 Console                    3     25,504 K
splwow64.exe                 19388 Console                    3     13,732 K
CNQMUPDT.EXE                 11592 Console                    3     20,896 K
svchost.exe                  17244 Services                   0      6,132 K
taskhostw.exe                12652 Console                    3     22,060 K
OverwolfHelper.exe            8396 Console                    3     20,488 K
OverwolfHelper64.exe         13952 Console                    3     20,556 K
SystemSettings.exe           18188 Console                    3      2,016 K
ApplicationFrameHost.exe      3080 Console                    3     25,088 K
RiotClientCrashHandler.ex     9960 Console                    3      6,368 K
svchost.exe                  20380 Services                   0      8,756 K
UserOOBEBroker.exe           14868 Console                    3      9,840 K
steamwebhelper.exe           17824 Console                    3     95,100 K
CompPkgSrv.exe               19372 Console                    3      8,652 K
OmenCommandCenterBackgrou    14376 Console                    3    136,516 K
Video.UI.exe                 18576 Console                    3      3,220 K
RuntimeBroker.exe             3984 Console                    3      8,932 K
SelfService.exe              16828 Console                    3     71,012 K
msedgewebview2.exe           22328 Console                    3     50,648 K
AuthManSvr.exe               13608 Console                    3     16,260 K
msedgewebview2.exe            7868 Console                    3      9,844 K
